# %ECSV 0.9
# ---
# datatype:
# - {name: energy, unit: eV, datatype: float64}
# - {name: flux, unit: erg / (cm2 s), datatype: float64}
# - {name: flux_error, unit: erg / (cm2 s), datatype: float64}
energy  flux flux_error
5.087834894657135010e+02  7.213782472515706696e-11 3.994681256248983611e-12
7.598699927330017090e+02  6.317232458194129437e-11 4.817008494159168069e-12
1.004530012607574463e+03  5.173758617660044634e-11 5.502688660722658149e-12
1.246985018253326416e+03  4.982531734120195561e-11 6.494668327248463580e-12
1.539370000362396240e+03  5.234008503154399722e-11 8.227702519054600183e-12
2.113292574882507324e+03  3.560831688212372355e-11 5.785570549107203799e-12
7.675000071525573730e+03  1.438429501558892703e-11 2.170096024078024348e-12
